Date,Open,High,Low,Close,Volume,Gain
04-01-15 16:00,40.6,40.76,40.31,40.72,36865322,40.6
04-02-15 16:00,40.66,40.74,40.12,40.29,37487476,40.66
04-06-15 16:00,40.34,41.78,40.18,41.55,39223692,40.34
04-07-15 16:00,41.61,41.91,41.31,41.53,28809375,41.2
04-08-15 16:00,41.48,41.69,41.04,41.42,24753438,42.4
04-09-15 16:00,42.25,41.62,41.25,41.48,25723861,41.4
04-10-15 16:00,41.63,41.95,41.41,41.72,28022002,41.63
4/13/2015 16:00:00,41.4,42.06,41.39,41.76,30276692,41.4
4/14/2015 16:00:00,41.8,42.03,41.39,41.65,24244382,41.8
4/15/2015 16:00:00,41.76,42.46,41.68,42.26,27343581,41.76
4/16/2015 16:00:00,41.95,42.34,41.82,42.16,22509652,41.95
4/17/2015 16:00:00,41.67,41.74,41.16,41.62,42387608,41.67
4/20/2015 16:00:00,41.73,43.17,41.68,42.91,46057733,41.73
4/21/2015 16:00:00,43,43.15,42.53,42.64,26013844,43
4/22/2015 16:00:00,42.67,43.13,42.55,42.99,25064273,42.67
4/23/2015 16:00:00,42.85,43.61,42.8,43.34,46309530,42.85
4/24/2015 16:00:00,45.66,48.14,45.65,47.87,130933665,45.66
4/27/2015 16:00:00,47.23,48.13,47.22,48.03,59248172,47.23
4/28/2015 16:00:00,47.78,49.21,47.7,49.16,60730778,47.78
4/29/2015 16:00:00,48.72,49.31,48.5,49.06,47804562,48.72
4/30/2015 16:00:00,48.7,49.54,48.6,48.64,64725457,48.7
05-01-15 16:00,48.58,48.88,48.4,48.66,38937336,48.58
05-04-15 16:00,48.37,48.87,48.18,48.24,34039485,48.37
05-05-15 16:00,47.82,48.16,47.31,47.6,50369191,47.82
05-06-15 16:00,47.57,47.77,46.02,46.28,52433020,47.57
05-07-15 16:00,46.27,47.09,46.16,46.7,32971654,46.27
05-08-15 16:00,47.55,47.98,47.52,47.75,35364911,47.55
05-11-15 16:00,47.55,47.91,47.37,47.37,24609416,47.55
05-12-15 16:00,46.85,47.68,46.42,47.35,29928264,46.85
5/13/2015 16:00:00,48.19,48.32,47.57,47.63,34184613,48.19
5/14/2015 16:00:00,48.03,48.82,48.03,48.72,32980892,48.03
5/15/2015 16:00:00,48.87,48.91,48.05,48.3,28642694,48.87
5/18/2015 16:00:00,47.98,48.22,47.61,48.01,24136502,47.98
5/19/2015 16:00:00,47.62,47.81,47.18,47.58,28574813,47.62
5/20/2015 16:00:00,47.39,47.93,47.27,47.58,25047919,47.39
5/21/2015 16:00:00,47.28,47.6,47.01,47.42,22410698,47.28
5/22/2015 16:00:00,47.3,47.35,46.82,46.9,25720583,47.3
5/26/2015 16:00:00,46.83,46.88,46.19,46.59,29581860,46.83
5/27/2015 16:00:00,46.82,47.77,46.62,47.61,27335639,46.82
5/28/2015 16:00:00,47.5,48.02,47.39,47.45,19283666,47.5
5/29/2015 16:00:00,47.43,47.57,46.59,46.86,36519594,47.43
06-01-15 16:00,47.06,47.77,46.62,47.23,28837332,47.06
06-02-15 16:00,46.95,47.35,46.62,46.92,21498326,46.95
06-03-15 16:00,47.37,47.74,46.82,46.85,28002154,47.37
06-04-15 16:00,46.79,47.16,46.2,46.36,27745512,46.79
06-05-15 16:00,46.31,46.52,45.84,46.14,25438086,46.31
06-08-15 16:00,46.3,46.43,45.67,45.73,22121634,46.3
06-09-15 16:00,45.76,45.94,45.46,45.65,24406057,45.76
06-10-15 16:00,45.79,46.83,45.69,46.61,28417405,45.79
06-11-15 16:00,46.66,46.92,46.13,46.44,27347758,46.66
06-12-15 16:00,46.2,46.47,45.9,45.97,23930972,46.2
6/15/2015 16:00:00,45.45,45.65,45.02,45.48,33254517,45.45
6/16/2015 16:00:00,45.35,46.24,45.3,45.83,27070306,45.35
6/17/2015 16:00:00,45.73,46.07,45.36,45.97,28704061,45.73
6/18/2015 16:00:00,46.22,46.8,46.17,46.72,32658343,46.22
6/19/2015 16:00:00,46.79,46.83,45.99,46.1,63837036,46.79
6/22/2015 16:00:00,46.33,46.72,46.16,46.23,20318055,46.33
6/23/2015 16:00:00,46.13,46.28,45.62,45.91,25896473,46.13
6/24/2015 16:00:00,45.68,46.25,45.55,45.64,34890901,45.68
6/25/2015 16:00:00,46.03,46.06,45.5,45.65,20615995,46.03
6/26/2015 16:00:00,45.65,46.28,45.03,45.26,49835287,45.65
6/29/2015 16:00:00,45.04,45.23,44.36,44.37,34081746,45.04
6/30/2015 16:00:00,44.71,44.72,43.94,44.15,35945384,44.71
07-01-15 16:00,44.49,45.23,44.1,44.45,28343907,44.49
07-02-15 16:00,44.48,44.75,44.06,44.4,21752013,44.48
07-06-15 16:00,43.96,44.48,43.95,44.39,23033961,43.96
07-07-15 16:00,44.34,44.49,43.32,44.3,36435827,44.34
07-08-15 16:00,44.44,44.9,44.03,44.24,39785901,44.44
07-09-15 16:00,44.75,45.22,44.5,44.52,32424672,44.75
07-10-15 16:00,45.01,45.14,44.57,44.61,25465757,45.01
7/13/2015 16:00:00,44.98,45.62,44.95,45.54,28178329,44.98
7/14/2015 16:00:00,45.45,45.96,45.31,45.62,22880260,45.45
7/15/2015 16:00:00,45.68,45.89,45.43,45.76,26629615,45.68
7/16/2015 16:00:00,46.01,46.69,45.97,46.66,26271673,46.01
7/17/2015 16:00:00,46.55,46.78,46.26,46.62,29467107,46.55
7/20/2015 16:00:00,46.65,47.13,46.44,46.92,30631905,46.65
7/21/2015 16:00:00,46.78,47.33,46.48,47.28,42781899,46.78
7/22/2015 16:00:00,45.44,46.93,45.2,45.54,59152427,45.44
7/23/2015 16:00:00,45.27,46.23,45.1,46.11,33934010,45.27
7/24/2015 16:00:00,45.91,46.32,45.8,45.94,32333244,45.91
7/27/2015 16:00:00,45.94,46.01,45.25,45.35,39701420,45.94
7/28/2015 16:00:00,45.58,45.64,44.79,45.34,34328948,45.58
7/29/2015 16:00:00,45.4,46.78,45.26,46.29,40945864,45.4
7/30/2015 16:00:00,46.26,47.4,45.93,46.88,39777883,46.26
7/31/2015 16:00:00,47.29,47.37,46.5,46.7,31201480,47.29
08-03-15 16:00,46.98,47,46.45,46.81,24125886,46.98
08-04-15 16:00,46.75,47.71,46.68,47.54,33403916,46.75
08-05-15 16:00,47.98,48.41,47.54,47.58,26959655,47.98
